question,answers,wrongChoices,explanation,tags
701年に定められ、律令にもとづく政治のしくみを完成させた法律を何といいますか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/001.png,大宝律令,憲法十七条;冠位十二階;墾田永年私財法,唐の律令にならってつくられ、701年に完成したのが大宝律令です。誤答について、憲法十七条は604年に聖徳太子が定めた役人の心構え、冠位十二階は603年に聖徳太子が定めた位の制度で、どちらも飛鳥時代のもの。墾田永年私財法は743年に出された土地についての法律です。,小5下社会;第3回;奈良時代;律令政治
大宝律令が定められたのは西暦何年ですか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/001.png,701年,645年;710年;743年,701年に大宝律令が完成し、律令政治が始まりました。誤答について、645年は大化の改新が始まった年、710年は平城京に都が移された年、743年は墾田永年私財法が出された年です。,小5下社会;第3回;奈良時代;律令政治
律令の「律」にあたるのはどれですか。,刑罰についての決まり,政治を行う上での決まり;税の集め方だけの決まり;土地を分けるときの決まり,「律」は今の刑法にあたる刑罰の決まりです。誤答について、政治を行う上での決まりは「令」の説明。税や土地についての決まりも「令」の中に定められており、「律」ではありません。,小5下社会;第3回;奈良時代;律令政治
律令のもとで、中央の政治の中心となり、その下の八省が実務にあたった役所を何といいますか。,太政官,神祇官;大宰府;郡司,中央には二官八省が置かれ、政治を行ったのが太政官です。誤答について、神祇官は神をまつる仕事を担当する役所、大宰府は九州に置かれた出先の役所、郡司は地方の役人で中央の役所ではありません。,小5下社会;第3回;奈良時代;律令政治
律令のもとで、神をまつる仕事を担当した中央の役所を何といいますか。,神祇官,太政官;大蔵省;弾正台,二官のうち、まつりごと（神をまつること）を担当したのが神祇官です。誤答について、太政官は政治を行う役所、大蔵省は太政官の下の八省の一つ、弾正台は役人を監督する役所です。,小5下社会;第3回;奈良時代;律令政治
律令のもとで地方は国・郡・里に分けられました。国を治めるために都から派遣された役人を何といいますか。,国司,郡司;里長;防人,国司は中央の貴族が任命され、都から派遣されました。誤答について、郡司はその地方の豪族が任命された役人、里長は里をまとめる役、防人は九州の守りにつく兵役で役人ではありません。,小5下社会;第3回;奈良時代;律令政治
律令のもとで、その地方の豪族が任命された役人を何といいますか。,郡司,国司;里長;太政大臣,郡司にはもともとその地方を治めていた豪族が任命されました。誤答について、国司は都から派遣された貴族、里長は里をまとめる役、太政大臣は中央の最高の役職です。,小5下社会;第3回;奈良時代;律令政治
九州に置かれ、九州地方の政治と外交・防衛の窓口となった役所を何といいますか。,大宰府,多賀城;国分寺;正倉院,大宰府は現在の福岡県に置かれ、九州の政治や外国との交渉を担当しました。誤答について、多賀城は東北地方を治めるために置かれた城、国分寺は聖武天皇が国ごとに建てさせた寺、正倉院は東大寺にある宝物の倉です。,小5下社会;第3回;奈良時代;律令政治
律令制度のもとでの、土地も人民もすべて国のものであるという考え方を何といいますか。,公地公民,荘園;班田収授;私有地,大化の改新以来の公地公民の考え方が、律令制度のもとで実際のしくみになりました。誤答について、荘園は貴族や寺社の私有地、班田収授は口分田をあたえるしくみの名前、私有地は公地公民とは反対の考え方です。,小5下社会;第3回;奈良時代;律令政治
6年ごとに戸籍をつくり、それにもとづいて口分田をあたえた制度を何といいますか。,班田収授の法,三世一身の法;墾田永年私財法;公地公民,戸籍にもとづいて口分田をあたえ、死ぬと国に返させたのが班田収授の法です。誤答について、三世一身の法（723年）と墾田永年私財法（743年）はどちらも新しく開墾した土地の私有を認めた法、公地公民は制度の名前ではなく考え方です。,小5下社会;第3回;奈良時代;税と農民
班田収授の法で、口分田があたえられたのは何歳以上の男女ですか。,6歳以上,12歳以上;15歳以上;20歳以上,6歳以上の男女に口分田があたえられ、男子より女子は少なめでした。誤答の12歳・15歳・20歳はいずれも班田収授の法の決まりではありません。,小5下社会;第3回;奈良時代;税と農民
口分田をあたえられた農民が、収穫した稲の約3％を納めた税を何といいますか。,租,調;庸;雑徭,租は収穫の約3％の稲を納める税で、女子にも課されました。誤答について、調は地方の特産物を納める税、庸は都での労働の代わりに布を納める税、雑徭は地方での労働で、いずれも稲を納めるものではありません。,小5下社会;第3回;奈良時代;税と農民
地方の特産物を都に納めた税を何といいますか。,調,租;庸;雑徭,調は布や海産物などその土地の特産物を納める税です。誤答について、租は稲を納める税、庸は都での労働の代わりの布、雑徭は地方での労働です。,小5下社会;第3回;奈良時代;税と農民
都で年間10日働く代わりに布を納めた税を何といいますか。,庸,調;租;防人,庸は都での労役の代わりに布などを納めるものです。誤答について、調は地方の特産物、租は稲を納める税、防人は九州の守りにつく兵役です。,小5下社会;第3回;奈良時代;税と農民
年間60日以内、地方で土木工事などの労働をする負担を何といいますか。,雑徭,庸;調;衛士,雑徭は国司のもとで行う地方での労働です。誤答について、庸は都での労働の代わりに納める布、調は特産物を納める税、衛士は都の守りにつく兵役です。,小5下社会;第3回;奈良時代;税と農民
3年間、九州の守りにつく兵役を何といいますか。,防人,衛士;郡司;運脚,防人はおもに東国の農民から選ばれ、3年間九州を守りました。誤答について、衛士は1年間都を守る兵役、郡司は地方の役人、運脚は税を都まで運ぶ仕事です。,小5下社会;第3回;奈良時代;税と農民
1年間、都の守りにつく兵役を何といいますか。,衛士,防人;郡司;里長,都の警備にあたったのが衛士です。誤答について、防人は九州の守りにつく兵役、郡司と里長は兵役ではなく地方の役人です。,小5下社会;第3回;奈良時代;税と農民
調や庸を農民自身が都まで運ぶ仕事（またはその人）を何といいますか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/002.png,運脚,防人;衛士;里長,調・庸は運脚として農民が自分で都まで運び、その間の食料も自分で用意したため大きな負担でした。誤答について、防人は九州、衛士は都の守りにつく兵役、里長は里をまとめる役人です。,小5下社会;第3回;奈良時代;税と農民
税を割り当てるため、6年ごとにつくられた人民の登録台帳を何といいますか。|https://raw.githubusercontent.com/ki-yasuda/anki-maker-images/main/shakai/g5b/03/002.png,戸籍,風土記;日本書紀;荘園,戸籍に登録された内容をもとに口分田があたえられ、税が割り当てられました。誤答について、風土記は国ごとの産物や伝説をまとめた書物、日本書紀は歴史書、荘園は私有地で、いずれも人民の台帳ではありません。,小5下社会;第3回;奈良時代;税と農民
