question,answers,wrongChoices,explanation,tags
数万年前の人々が採集や狩りに使った、石を打ち欠いてつくった石器を何といいますか。,打製石器,磨製石器;骨角器;青銅器,打製石器は石を打ち欠いてするどい刃をつくった石器で、旧石器時代の狩りに使われた。磨製石器は表面をみがいてつくった石器で、使われるようになるのは1万数千年前の縄文時代から。骨角器は動物の骨や角でつくった釣り針やもりなどの道具で石器ではない。青銅器は紀元前4世紀ごろに大陸から伝わった金属器で、時代がまったくちがう。,小5;社会;歴史;第5回;旧石器;年表
1万数千年前から、縄文土器や竪穴住居とともに使われるようになった、みがいてつくった石器を何といいますか。,磨製石器,打製石器;鉄器;土偶,磨製石器は石の表面をみがいてつくった石器で、縄文時代に使われた。打製石器はそれ以前の数万年前から使われていた打ち欠いてつくる石器。鉄器は紀元前4世紀ごろに稲作とともに大陸から伝わったもので石器ではない。土偶は縄文時代につくられた土の人形で、まじないに使われた道具であり石器ではない。,小5;社会;歴史;第5回;縄文;年表
紀元前4世紀ごろ、大陸から稲作や鉄器・青銅器が伝わったころに使われるようになった土器は何ですか。,弥生土器,縄文土器;すえ器;埴輪,弥生土器は文様が少なく、うすくてかたいのが特徴で、稲作が広まったころにつくられるようになった。縄文土器はそれ以前の縄文時代の土器で、厚く縄目の文様がついている。すえ器は古墳時代に渡来人によって伝えられた土器で、時期がちがう。埴輪は古墳の周りや上に置かれた土の焼き物で、土器ではない。,小5;社会;歴史;第5回;弥生;年表
3世紀に、女王卑弥呼が30あまりの小国を従えていた国を何といいますか。,邪馬台国,奴国;ヤマト政権;高句麗,邪馬台国は『魏志』倭人伝に記された国で、女王卑弥呼がまじないやうらないによって政治を行った。奴国は1世紀に中国に使いを送り金印を授けられた国で卑弥呼とは関係がない。ヤマト政権は3世紀半ば以降に豪族たちが中心となってつくった政権で時期が後。高句麗は朝鮮半島北部の国で日本の国ではない。,小5;社会;歴史;第5回;弥生;年表
邪馬台国と女王卑弥呼について記されている中国の歴史書は何ですか。,『魏志』倭人伝,『日本書紀』;『古事記』;『風土記』,卑弥呼のことは中国の歴史書『魏志』倭人伝に記されている。『日本書紀』と『古事記』はどちらも奈良時代に日本でつくられた歴史書で、中国の書物ではない。『風土記』は国ごとの地理や産物・伝説をまとめた書物で、これも奈良時代の日本の書物である。,小5;社会;歴史;第5回;弥生;史料
3世紀半ばごろから、豪族たちが中心になってつくられた政権を何といいますか。,ヤマト政権,邪馬台国;奴国;大化の改新,ヤマト政権は奈良盆地を中心に豪族たちが連合してつくった政権で、大王が中心となった。邪馬台国は3世紀に卑弥呼が治めた国で別のもの。奴国は1世紀に中国に使いを送った小国。大化の改新は645年に行われた政治改革の名前であり、政権の名前ではない。,小5;社会;歴史;第5回;古墳;年表
3世紀半ばからつくられるようになり、周りや上に埴輪が置かれた大きな墓を何といいますか。,前方後円墳,高床倉庫;竪穴住居;正倉院,前方後円墳は四角形と円形を組み合わせた形の古墳で、3世紀半ばからつくられ、周りや上に埴輪が置かれた。高床倉庫は弥生時代に収穫した稲を保存した建物で墓ではない。竪穴住居は縄文時代から使われた住まい。正倉院は奈良時代に東大寺に建てられた宝物庫で、時代も役割もちがう。,小5;社会;歴史;第5回;古墳
5世紀から6世紀ごろ、大陸から土木技術などの技術や道具、儒教や仏教を伝えた人々を何といいますか。,渡来人,遣唐使;防人;国司,渡来人は朝鮮半島や中国から日本に移り住み、技術や文化を伝えた人々である。遣唐使は日本から唐へ送られた使いで、伝える向きが逆。防人は九州の守りについた兵士のこと。国司は朝廷から地方に派遣された役人で、いずれも大陸から文化を伝えた人々ではない。,小5;社会;歴史;第5回;古墳;文化
6世紀に仏教が公に伝えられたのは、朝鮮半島のどの国からですか。,百済,新羅;高句麗;唐,仏教は6世紀半ばに百済から公に伝えられ、渡来人によって日本にもたらされた。新羅は朝鮮半島南東部の国で、のちに半島を統一したが仏教を公に伝えた国ではない。高句麗は半島北部の国。唐は中国の王朝で朝鮮半島の国ではない。,小5;社会;歴史;第5回;飛鳥;文化
593年、推古天皇が摂政としたのはだれですか。,聖徳太子,蘇我馬子;中大兄皇子;中臣鎌足,聖徳太子（厩戸皇子）は推古天皇の摂政となり、天皇中心の政治をめざした。蘇我馬子は聖徳太子に協力した有力な豪族で摂政ではない。中大兄皇子は645年に大化の改新を行った人物で時期が後。中臣鎌足は中大兄皇子に協力した人物で、藤原氏の先祖にあたる。,小5;社会;歴史;第5回;飛鳥;年表
